time,S_su,S_aa,S_fa,S_va,S_bu,S_pro,S_ac,S_h2,S_ch4,S_IC,S_IN,S_I,X_xc,X_ch,X_pr,X_li,X_su,X_aa,X_fa,X_c4,X_pro,X_ac,X_h2,X_I,S_cation,S_anion,S_H_ion,S_va_ion,S_bu_ion,S_pro_ion,S_ac_ion,S_hco3_ion,S_nh3,S_gas_h2,S_gas_ch4,S_gas_co2,S_co2,S_nh4_ion
70,3.641169968677527,14.893014053998266,6.577498534354091,0.025366428242843356,0.025366429568726635,0.02536642774689801,0.025366433435545097,1.0,3.331110642047818e-20,-2267.3231587753653,0.027734233176504215,0.06726681129623915,0.0018244577035229986,0.01928281144795277,0.08554668568377637,0.04086359049312965,0.0062552837939209,0.006255283967242145,0.006255283430065882,0.00625528343006639,0.006255283430065794,0.006255283430065622,0.00625528343006565,15.564469498512604,0.025366425158206165,0.030652228688687628,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9011399557342687,2.9728073361456594e-20,0.5596826275034781
71,3.6643476234338324,14.970299796154741,6.624037570647643,0.024069275847949972,0.02406927711425303,0.024069275374209578,0.024069280807335974,1.0,3.0976257378610155e-20,-2270.3421486334955,0.026414592069700846,0.0655097081757645,0.0016968818868031157,0.01942844471928959,0.08594349531272487,0.04142611354642984,0.005817880980146182,0.005817881143698544,0.005817880636896931,0.005817880636897405,0.005817880636896847,0.00581788063689669,0.005817880636896718,15.633086036721368,0.024069272901848047,0.029355331232495438,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9011470032929163,2.76445849220975e-20,0.5596896476134123
72,3.694676138459154,15.081727336582707,6.684714208563242,0.02283845539030414,0.02283845659950229,0.02283845493786221,0.02283846012606296,1.0,2.880482478653755e-20,-2273.2067623635585,0.025161937653488047,0.06374918796123429,0.0015782268518477508,0.020265708168131537,0.09021429057657596,0.043340522853870196,0.005411063704585274,0.005411063858884009,0.005411063380836091,0.005411063380836526,0.005411063380836012,0.0054110633808358635,0.00541106338083589,15.704952532883143,0.022838452576997133,0.02812376131182986,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9011540668188343,2.5706905323126062e-20,0.559696683628428
73,3.713708132356327,15.182260684556386,6.723831931809148,0.02167057488151399,0.021670576035995537,0.021670574449493274,0.02167057940299397,1.0,2.6785422215098668e-20,-2275.92487606633,0.023982119181318824,0.06203537328982485,0.0014678688100006345,0.01917104661766253,0.08918078472809707,0.040925976416558936,0.00503269326323688,0.0050326934087734105,0.0050326929579363,0.005032692957936709,0.005032692957936225,0.0050326929579360856,0.00503269295793611,15.758074408052215,0.021670572195460824,0.026956090823827966,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9011611461818825,2.3904875987812802e-20,0.559703735418892
74,3.7302104153882802,15.216774345047703,6.7573607704661125,0.020562415787869374,0.020562416889935837,0.02056241537542009,0.020562420104081488,1.0,2.4907318293484436e-20,-2278.5040026011675,0.022849754473292308,0.06046851711312579,0.0013652275912364221,0.01912765609014498,0.08237807685507746,0.040762329379841554,0.004680780501692208,0.004680780638935509,0.004680780213841815,0.0046807802138422025,0.004680780213841745,0.00468078021384162,0.004680780213841642,15.773573967570425,0.02056241322372574,0.025853289650701074,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9011682412584,2.222892271451822e-20,0.5597108028616242
75,3.7911325732591328,15.305446702337893,6.8769762835361306,0.01951092416046449,0.01951092521233717,0.019510923766772145,0.019510928280102632,1.0,2.316075440495831e-20,-2280.951260205356,0.02178925171350889,0.058981576386939225,0.0012697635941133385,0.023763405689559217,0.089406894135959,0.05127804675655128,0.0043534753578340635,0.004353475487228149,0.004353475086482789,0.004353475086483149,0.004353475086482723,0.004353475086482601,0.004353475086482623,15.840686900308423,0.019510921713078486,0.024791400941790862,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9011753520240269,2.0670339033266015e-20,0.5597178859323605
76,3.798475112341156,15.44302951136466,6.89064871043921,0.01851320221889514,0.018513203222713586,0.018513201843172657,0.018513206150334884,1.0,2.1536489112372732e-20,-2283.27334559818,0.02078726941480162,0.05741123033884703,0.0011809749490013935,0.018125844139975627,0.09478946879882894,0.038202665764496394,0.004049057135755883,0.004049057257723765,0.00404905688000049,0.004049056880000825,0.0040490568800004255,0.004049056880000308,0.004049056880000328,15.91858301967962,0.01851319988330147,0.023788180222541578,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.901182478247774,1.9220879925050205e-20,0.5597249844010109
77,3.812447888784295,15.46973862371672,6.916772064527039,0.01756650036533274,0.01756650132315311,0.017566500006813597,0.017566504116625976,1.0,2.002588513878368e-20,-2285.47669821959,0.01982396784963044,0.05604317787900536,0.0010983948796727191,0.019458437846707963,0.08244422079234204,0.04118859126236344,0.0037659254597854283,0.0037659255747324143,0.0037659252187715953,0.003765925218771902,0.003765925218771532,0.0037659252187714196,0.0037659252187714396,15.983494369116663,0.017566498136750326,0.02284236778701699,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9011896197302124,1.7872839279298385e-20,0.5597320980689232
78,3.852339215598283,15.584383333395582,6.994490423692506,0.016668209606976105,0.01666821052077934,0.01666820926492662,0.016668213185878585,1.0,1.8621085560683042e-20,-2287.567389441949,0.01891651197236709,0.05472237985215447,0.001021589249383695,0.021994455867146115,0.09390401585884277,0.04719868369500183,0.0035025918610603417,0.003502591969369575,0.003502591633975291,0.003502591633975575,0.0035025916339752345,0.0035025916339751326,0.0035025916339751512,16.083077357579462,0.016668207480803245,0.02193740190529366,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9011967764460568,1.6619207133072003e-20,0.5597392269109107
79,3.886197729743144,15.65031995404693,7.061116215433175,0.015815854365992237,0.015815855237684983,0.015815854039707675,0.01581585777996844,1.0,1.731461560562926e-20,-2289.5511723193413,0.018047294949649878,0.05353075184907131,0.0009501542785481351,0.02132628275376049,0.08776711979270724,0.045702819756357996,0.0032576719524008493,0.0032576720544356397,0.0032576717384726734,0.003257671738472935,0.003257671738472619,0.0032576717384725207,0.0032576717384725394,16.13699610324112,0.015815852337801455,0.021082913802564322,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.901203948203148,1.5453314506459308e-20,0.5597463707355627
80,3.9474478058852176,15.740055542677023,7.180111758227505,0.015007085657129791,0.015007086488545422,0.015007085345932696,0.015007088913357686,1.0,1.609963417827894e-20,-2291.433522727356,0.01722190467027091,0.05244660206366886,0.0008837144220027941,0.0243484187689109,0.09150694107527643,0.05253331464730697,0.0030298781503638058,0.0030298782464686707,0.0030298779488600928,0.0030298779488603348,0.0030298779488600403,0.0030298779488599488,0.003029877948859967,16.22207630354694,0.015007083722663385,0.02027243262918084,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9012111349459839,1.4369057674312743e-20,0.5597535294875932
81,3.9767134552762866,15.80186166045504,7.237112638302929,0.01423967461420835,0.014239675407108899,0.014239674317446585,0.014239677719586246,1.0,1.496976317627745e-20,-2293.2196019949165,0.016441992189196026,0.05141306776653573,0.0008219203947059188,0.021105363280977042,0.08846564677137968,0.04511023680171748,0.002818012906208929,0.0028180129967110643,0.0028180127164355345,0.002818012716435753,0.002818012716435486,0.002818012716435401,0.0028180127164354166,16.276501770647585,0.014239672769373801,0.019503521460099694,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9012183365120126,1.3360745999025722e-20,0.5597607030050833
