time,S_su,S_aa,S_fa,S_va,S_bu,S_pro,S_ac,S_h2,S_ch4,S_IC,S_IN,S_I,X_xc,X_ch,X_pr,X_li,X_su,X_aa,X_fa,X_c4,X_pro,X_ac,X_h2,X_I,S_cation,S_anion,Q,T (C),S_H_ion,S_va_ion,S_bu_ion,S_pro_ion,S_ac_ion,S_hco3_ion,S_co2,S_nh3,S_nh4_ion,S_gas_h2,S_gas_ch4,S_gas_co2
199,0.006247373236566698,0.04709515165869127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007850339752515355,0.002051445955661479,0.028735780795372114,0.0,4.407197267683972,17.26108137856769,9.596730671612404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.37685362351404,0.0,0.005090346973867979,165.4135428284824,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,0.0015438553964271667,0.05671866779013576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007774124698993635,0.002270841374037396,0.030388831320131843,0.0,5.359864135008532,17.924501205555845,11.772915136486489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.076251141011134,0.0,0.004804059294597291,158.06531977120665,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,0.00010168105324718749,0.04080502405330355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007809574261244719,0.002196921343121333,0.030140996174715353,0.0,4.228916102081334,16.407298641676523,9.140611439573146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.08514202624939,0.0,0.004919886634559,148.1341042251524,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,0.0005008393302431355,0.03459780539732366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007823841916707031,0.0021577405270069273,0.030872637143792184,0.0,3.6792813634715906,16.252900921110566,7.899524651718365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.264711654187128,0.0,0.004983309532566417,143.99572316948675,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,0.0016582281716746564,0.04570903079523785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007820236343079219,0.0020446944008754376,0.03202596863274774,0.0,4.65796198275084,16.37375940938964,10.201658669379485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.051338843716422,0.0,0.005076882814269541,166.23635413835032,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,0.01145715035972124,0.038383027191845824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007907692193435375,0.0019231944910552187,0.03130455715855161,0.0,4.5994503033309195,16.3032893864509,10.061592413906402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.815294651114492,0.0,0.005263062723983844,169.95976119527145,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,0.0051498732499848125,0.045502337095543605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007918145531866833,0.0021446071877181147,0.03078916289088168,0.0,3.9073834227329374,18.496181353897253,8.458031425919662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.185097069813366,0.0,0.005061241007430104,170.15194672640942,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,0.0010234900727281251,0.05355740211976966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007828239516721073,0.002246564755753385,0.03278688506888138,0.0,4.4717833524042385,18.82504320136567,9.735960035508171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.005368911715568,0.0,0.004889818610557157,159.44048652072078,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,0.0031811998459090936,0.04989825977146106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007774502517061031,0.0021841450618274375,0.03276772380423446,0.0,4.60374604009186,18.286456978064958,10.033538399624538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.159115851670606,0.0,0.004905995219877146,164.87028661708402,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,0.004526788108122812,0.043200861305120346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0077505124880956145,0.002318097997703948,0.030499133958256482,0.0,4.307085604886756,17.083418651457276,9.338385638835344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.329307982487006,0.0,0.0047629230722200525,141.08743918065844,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
